year,marital,age,race,rincome,partyid,relig,tvhours
2000,Never married,26,White,$8000 to 9999,"Ind,near rep",Protestant,12
2000,Divorced,48,White,$8000 to 9999,Not str republican,Protestant,NA
2000,Widowed,67,White,Not applicable,Independent,Protestant,2
2000,Never married,39,White,Not applicable,"Ind,near rep",Orthodox-christian,4
2000,Divorced,25,White,Not applicable,Not str democrat,None,1
2000,Married,25,White,$20000 - 24999,Strong democrat,Protestant,NA
2000,Never married,36,White,$25000 or more,Not str republican,Christian,3
2000,Divorced,44,White,$7000 to 7999,"Ind,near dem",Protestant,NA
2000,Married,44,White,$25000 or more,Not str democrat,Protestant,0
2000,Married,47,White,$25000 or more,Strong republican,Protestant,3
2000,Married,53,White,$25000 or more,Not str democrat,Protestant,2
2000,Married,52,White,$25000 or more,"Ind,near rep",None,NA
2000,Married,52,White,$25000 or more,Strong democrat,Protestant,1
2000,Married,51,White,$25000 or more,Strong republican,Protestant,NA
2000,Divorced,52,White,$25000 or more,"Ind,near dem",None,1
2000,Married,40,Black,$25000 or more,Strong democrat,Protestant,7
2000,Widowed,77,White,Not applicable,Strong republican,Jewish,NA
2000,Never married,44,White,$25000 or more,Independent,None,3
2000,Married,40,White,$10000 - 14999,Not str democrat,Catholic,3
2000,Married,45,Black,Not applicable,Independent,Protestant,NA
2000,Married,48,White,$25000 or more,"Ind,near dem",Catholic,1
2000,Married,49,White,Refused,Strong republican,Protestant,2
2000,Never married,19,White,Not applicable,Independent,None,2
2000,Widowed,54,White,$25000 or more,"Ind,near rep",Christian,1
2000,Widowed,82,White,Not applicable,Not str democrat,Protestant,3
2000,Widowed,83,White,Not applicable,Strong democrat,Protestant,NA
2000,Widowed,89,White,Not applicable,Not str democrat,Protestant,4
2000,Widowed,88,White,Not applicable,Strong republican,Protestant,NA
2000,Divorced,72,White,Not applicable,Strong democrat,Protestant,7
2000,Widowed,82,White,Not applicable,Independent,Protestant,NA
2000,Widowed,89,White,Not applicable,"Ind,near rep",Protestant,3
2000,Married,34,White,Refused,Not str democrat,Catholic,NA
2000,Married,55,Black,Not applicable,Not str democrat,Protestant,1
2000,Never married,37,White,$25000 or more,Independent,None,NA
2000,Married,22,White,$10000 - 14999,"Ind,near dem",Protestant,NA
2000,Never married,33,Other,$20000 - 24999,Not str democrat,Christian,NA
2000,Never married,37,White,$25000 or more,"Ind,near dem",None,1
2000,Never married,43,White,$20000 - 24999,Independent,Catholic,4
2000,Never married,29,White,$25000 or more,"Ind,near rep",Catholic,2
2000,Never married,57,White,Refused,Strong republican,Protestant,1
2000,Married,31,White,$20000 - 24999,"Ind,near dem",None,2
2000,Married,45,White,$25000 or more,Independent,Catholic,NA
2000,Divorced,36,Black,$15000 - 19999,Strong democrat,None,NA
2000,Never married,52,White,Not applicable,"Ind,near dem",Other,1
2000,Never married,26,White,$25000 or more,"Ind,near rep",None,1
2000,Never married,46,White,$10000 - 14999,Strong democrat,Catholic,NA
2000,Married,65,White,$25000 or more,Strong republican,Protestant,1
2000,Married,52,White,$3000 to 3999,"Ind,near rep",Protestant,4
2000,Married,56,White,$25000 or more,Not str republican,Protestant,5
2000,Married,66,White,$25000 or more,Strong republican,Protestant,3
2000,Never married,20,White,$15000 - 19999,Strong republican,Protestant,2
